# Me and Mr. Robot: Tracking the Actor Behind the MAN1 Crypter,,
Url,Description,Date added
buthimetrab[.]com:80/h/gate.php,H1N1,7/12/16
ughtotdinghar[.]ru:80/h/gate.php,H1N1,7/12/16
gebiketo[.]ru:80/h/gate.php,H1N1,7/12/16
retoftontto[.]com:80/h/gate.php,H1N1,7/12/16
hididnjustha[.]ru:80/h/gate.php,H1N1,7/12/16
hinjuskinuse[.]ru:80/h/gate.php,H1N1,7/12/16
quonigeria[.]com/pm.dll,H1N1,7/12/16
Ungr[.]net/inst.exe,H1N1,7/12/16
crr-medvezonok[.]ru/about/inst3.exe,H1N1,7/12/16
crr-medvezonok[.]ru/about/inst1.exe,H1N1,7/12/16
crr-medvezonok[.]ru/about/inst2.exe,H1N1,7/12/16
crr-medvezonok[.]ru/about/pm.dll,H1N1,7/12/16
ontedrirop[.]ru/h/gate.php,H1N1,7/12/16
hemorananing[.]ru/h/gate.php,H1N1,7/12/16
wasscaltontuld[.]com/h/gate.php,H1N1,7/12/16
oxrdmfdis[.]in/deip7/index.php,Nymaim,7/12/16
oxrdmfdis[.]in/awxCAe1jyu/index.php,Nymaim,7/12/16
xnkhfbc[.]in/qzlshd9xfv/index.php,Nymaim,7/12/16
secure.adnxs.metalsystems[.]it/new_and/state.php,Andromeda,7/12/16
upfd.pilenga[.]co[.]uk/new_and/state.php,Andromeda,7/12/16
37.59.66.231/js/calc[.]pack,Andromeda,7/12/16
www.amicimusica.ud[.]it/audio/js.mod,Andromeda,7/12/16
antoniocaroli[.]it/prova/sd/LnMSLFOfwwout.exe,Andromeda,7/12/16
goyanok[.]at/krp3cmg/images/,ISFB/Gozi,7/12/16
outaplaceshave[.]cn/krp3cmg/images/,ISFB/Gozi,7/12/16
noopex[.]at/krp3cmg/images/,ISFB/Gozi,7/12/16
hothegivforsuffer[.]cn/krp3cmg/images/,ISFB/Gozi,7/12/16
lopertopgo[.]su/krp3cmg/images/,ISFB/Gozi,7/12/16
nexpoo[.]at/krp3cmg/images/,ISFB/Gozi,7/12/16
pergozip[.]at/krp3cmg/images/,ISFB/Gozi,7/12/16
justiceseasfriends[.]cn/krp3cmg/images/,ISFB/Gozi,7/12/16
mid100[.]at/krp3cmg/images/,ISFB/Gozi,7/12/16
goinumder[.]su/krp3cmg/images/,ISFB/Gozi,7/12/16
trepeatedandequal[.]cn/krp3cmg/images/,ISFB/Gozi,7/12/16
hulivam[.]at/krp3cmg/images/,ISFB/Gozi,7/12/16
therepalon[.]su/krp3cmg/images/,ISFB/Gozi,7/12/16
creatortherefore[.]cn/krp3cmg/images/,ISFB/Gozi,7/12/16
nhgyzrn2p2gejk57wveao5kxa7b3nhtc4saoonjpsy65mapycaua[.]b32[.]i2p,Dyre,7/12/16
88.208.22.210/30.su3,Dyre,7/12/16
senyuplastics[.]com/75462354.txt,Dyre,7/12/16
senyuplastics[.]com/lns.txt,Dyre,7/12/16
91.194.254.235/uss/file.exe,Dyre,7/12/16
91.194.254.222/us2/file.exe,Dyre,7/12/16
5.255.166.200/0.su3,Dyre,7/12/16
bankruptcy-software[.]com/wp-content/themes/classic/1.php?r,MacroDocs,7/12/16
91.194.254.213/us/file.jpg,MacroDocs,7/12/16
penis-enhancement-secrets[.]com/wp-content/plugins/lns.txt,MacroDocs,7/12/16
peakperformancelifestyle[.]com/wp-content/plugins/lns.txt,MacroDocs,7/12/16
penis-enhancement-secrets[.]com/wp-content/plugins/6612536153.txt,MacroDocs,7/12/16
peakperformancelifestyle[.]com/wp-content/plugins/6612536153.txt,MacroDocs,7/12/16
91.194.254.80/us705/file.exe,MacroDocs,7/12/16
senyuplastics[.]com/75462354.txt,MacroDocs,7/12/16
senyuplastics[.]com/lns.txt,MacroDocs,7/12/16
91.194.254.235/uss/file.exe,MacroDocs,7/12/16
91.194.254.222/us2/file.exe,MacroDocs,7/12/16
capehilldentalsurgery[.]co[.]uk/wp-admin/includes/89172387.txt,MacroDocs,7/12/16
brianlonchar[.]com/home/wp-includes/fonts/89172387.txt,MacroDocs,7/12/16
capehilldentalsurgery[.]co[.]uk/wp-admin/includes/lns.txt,MacroDocs,7/12/16
brianlonchar[.]com/home/wp-includes/fonts/lns.txt,MacroDocs,7/12/16
carallianz[.]com/boilerd/keys/pa.exe,MacroDocs,7/12/16
modern7technologiesx0[.]tk/x1656/dfiubgh5.exe,MacroDocs,7/12/16
